step,corpus_perplexity,corpus_loss
1,9.16430357761075,2.2153158912370943
2,9.095845285776646,2.2078177472640728
3,8.851384662759628,2.180573905850279
4,8.479211260019012,2.137617433687736
5,8.003053463097542,2.079823151744645
6,7.533881980520712,2.0194104442308687
7,7.274577777002199,1.984385773847843
8,7.197793020480518,1.9737744541003786
9,7.145269033799768,1.9664504641088947
10,6.87755022966539,1.92826251726726
11,6.7552192193883265,1.9103154237928062
12,6.480385158297801,1.8687799466067347
13,6.334053920407431,1.845940460932666
14,6.254153218677,1.8332457580443087
15,6.132943280554622,1.8136747783628004
16,5.942617256800141,1.782149651954914
17,5.838746897746751,1.7645162015125668
18,5.7892426003403905,1.7560014713427117
19,5.628691725322451,1.727877039539403
20,5.471680921795454,1.6995858675447004
21,5.4017657060418625,1.6867258827234137
22,5.3665010342377055,1.680176119660509
23,5.238176828128613,1.6559735042267831
24,5.102677186782777,1.6297653405830779
25,5.016183808851829,1.6126694471671663
26,4.964639735332607,1.6023407340049745
27,4.858405999571836,1.5807104004868147
28,4.79067966032514,1.5666722928655559
29,4.742135550847752,1.556487572398679
30,4.704321797120203,1.5484816175082634
31,4.586871599252185,1.5231982229084804
32,4.500817889774915,1.5042591335444615
33,4.4462038225791325,1.4920506585260918
34,4.40759210475689,1.4833285323504743
35,4.287318488633521,1.4556614765833165
36,4.211016188919199,1.4377039936082117
37,4.165973728530655,1.4269500366572676
38,4.135488092346214,1.4196053607710477
39,4.056813248518034,1.4003977512491161
40,4.0103354380823175,1.3888748882145716
41,3.9892504499963577,1.3836033561106387
42,3.9813191365776768,1.3816132057329704
43,3.884791960806133,1.357069433043743
44,3.8752792313697695,1.3546177199174618
45,3.8804548858183106,1.3559523853762396
46,3.886985793292219,1.3576339969347264
47,3.813991506292818,1.3386762801943155
48,3.756968615360064,1.3236124129130922
49,3.72092562066483,1.3139724600931695
50,3.697287968475036,1.3075995693946707
51,3.6548727898594042,1.2960612881800224
52,3.6382142370490946,1.291492967050651
53,3.6369538501147423,1.2911464769264747
54,3.621397408535028,1.286859975806598
55,3.5555275039999,1.2685034359323568
56,3.52368412241044,1.2595070679639948
57,3.5031837229782865,1.2536721901646977
58,3.4867756154928626,1.2489774167537688
59,3.4589158027248357,1.2409551881510636
60,3.4356335523997603,1.2342013489583443
61,3.418001938993027,1.2290561519820116
62,3.396910597509555,1.2228663707601612
63,3.3767009599526263,1.2168991854992406
64,3.362527588278874,1.2126929495869012
65,3.3531940669966227,1.2099133444243464
66,3.3351162389701265,1.2045075330240973
67,3.315562001487137,1.198627142145716
68,3.303110967068742,1.194864741687117
69,3.292174282255321,1.1915482225603071
70,3.2764470770020098,1.1867596270709202
71,3.2605616158572532,1.1818994553438549
72,3.251982444208157,1.179264793211016
73,3.243623896573441,1.1766911913608682
74,3.234920010377234,1.1740042013340983
75,3.2279244258862825,1.171839338078581
76,3.2221363207094114,1.170044593204712
77,3.216881501379267,1.1684124124461206
78,3.210768347682846,1.1665102691485965
79,3.2049455521585006,1.1646951018222447
80,3.199470130307957,1.1629852118163273
81,3.194644187202933,1.1614757161202103
82,3.189725867614603,1.1599349781870842
83,3.1871997204923215,1.159142700711201
84,3.1831578319559717,1.1578737329820106
85,3.181103042454625,1.15722800534347
86,3.1759754292368796,1.1556148069685903
87,3.1740427322598124,1.1550060852334416
88,3.1714512223750075,1.1541892819877329
89,3.168874630160314,1.1533765186009737
90,3.1673397356442683,1.1528920354514287
91,3.166210078252232,1.152535313727527
92,3.165378813743669,1.1522727368206813
93,3.163721311510942,1.151748964961233
94,3.162825035612779,1.1514656268317125
95,3.161327815794791,1.1509921342134475
96,3.1600319402996355,1.1505821352374965
97,3.159448892011022,1.1503976111268175
98,3.1585725484648535,1.15012020037092
99,3.1570887012443327,1.1496503058692504
100,3.156136009203804,1.1493484974935138
