step,loss,chunked_perplexity
1,2.5377449989318848,12.651110513285
2,2.6217432022094727,13.759688610654255
3,2.461642265319824,11.724049738837602
4,2.4272327423095703,11.327492577662747
5,2.2035508155822754,9.057116620398787
6,1.9306977987289429,6.894319410791847
7,1.8246585130691528,6.200677207294225
8,1.8845126628875732,6.5831454490540695
9,2.160871982574463,8.678702036926207
10,2.1954898834228516,8.984401288186499
11,2.186420440673828,8.903286165557617
12,2.22102689743042,9.216790706601216
13,1.782438039779663,5.944331282404325
14,1.605607271194458,4.980883431535621
15,1.504999041557312,4.50414931331744
16,1.732418417930603,5.654311875660384
17,2.094102382659912,8.118150705925213
18,2.1606030464172363,8.676368333973299
19,2.159715175628662,8.668668258820393
20,2.124174118041992,8.365985317866814
21,1.4906611442565918,4.440030049188999
22,1.321031093597412,3.747283185676196
23,1.2469254732131958,3.4796282842591064
24,1.6906068325042725,5.422770420231432
25,2.1509265899658203,8.592816727311732
26,1.9808752536773682,7.249084997623004
27,1.9599074125289917,7.098669786846147
28,2.2302637100219727,9.302318870770357
29,1.2119832038879395,3.3601418955031934
30,1.1414138078689575,3.1311921413531683
31,1.0372140407562256,2.8213459004500647
32,1.7800122499465942,5.929929059460507
33,2.1333956718444824,8.443489506884287
34,2.0663089752197266,7.895626315549896
35,1.9862151145935059,7.287897638104922
36,1.8907361030578613,6.6242430123553016
37,1.0626267194747925,2.8939626423634786
38,0.9872100949287415,2.683736647619847
39,0.8854275941848755,2.4240206670583087
40,1.9568989276885986,7.077345639176665
41,1.942589282989502,6.976792493377915
42,2.027475357055664,7.5948877543846525
43,1.937843680381775,6.943761845880759
44,1.3386738300323486,3.8139821614073357
45,0.937079131603241,2.552514959088922
46,0.8550665378570557,2.3515308411925404
47,0.9632487893104553,2.620195122693572
48,2.0389342308044434,7.682417150691492
49,1.962417483329773,7.116510331750953
50,2.0418694019317627,7.70499948499538
51,2.023829460144043,7.567247993054005
52,1.2236921787261963,3.399716951936323
53,0.8711907267570496,2.389754704933235
54,0.770780086517334,2.161451715637647
55,1.2245970964431763,3.4027948084322523
56,2.0341110229492188,7.645452471768151
57,1.9361076354980469,6.93171762133655
58,1.991581678390503,7.327113739462076
59,1.9962453842163086,7.361365049431158
60,0.9627352356910706,2.6188498574672976
61,0.7792783379554749,2.1798985476775155
62,0.7069224119186401,2.027741094040825
63,1.4244462251663208,4.1555559631409995
64,2.0346426963806152,7.6495184365053275
65,2.0910935401916504,8.093761179838545
66,1.9347511529922485,6.922321242100911
67,2.108020067214966,8.231926477728571
68,0.8343281149864197,2.303265998382881
69,0.7304192185401917,2.0759507023044095
70,0.6589741706848145,1.9328085853745214
71,1.542640209197998,4.676922037184326
72,2.1132311820983887,8.274935958659608
73,1.9305287599563599,6.893154101994811
74,1.9077496528625488,6.73790909069651
75,1.955627679824829,7.068354294976144
76,0.7388767600059509,2.093582597592104
77,0.7000446319580078,2.0138425872024937
78,0.6232115030288696,1.864907591414659
79,1.7668025493621826,5.852111576491258
80,1.98628568649292,7.288411977032702
81,2.0591495037078857,7.839299678949797
82,2.0281155109405518,7.599751207799121
83,1.6798371076583862,5.364682034326517
84,0.7207944393157959,2.056065981640962
85,0.6668964624404907,1.9481816735358999
86,0.7337864637374878,2.0829527194749753
87,1.9256114959716797,6.859341843618621
88,1.8185101747512817,6.162670305397708
89,1.960592269897461,7.10353302827928
90,2.0001730918884277,7.3903351953019225
91,1.2459051609039307,3.4760797872844242
92,0.7228406667709351,2.060277467661861
93,0.661586582660675,1.9378644788328985
94,1.0327070951461792,2.8086588593073154
95,1.9493436813354492,7.024076035230039
96,1.9018815755844116,6.698486300573439
97,1.9665987491607666,7.1463286489496864
98,1.3919203281402588,4.022567289972008
99,0.7032450437545776,2.0202980373142885
100,0.6068518161773682,1.8346464931763293
