step,probe_index,log_prob,perplexity,hit_accuracy_at_1,hit_accuracy_at_10,hit_accuracy_at_100
0,0,-10.542976379394531,33.593257904052734,0.3333333432674408,0.3333333432674408,1.0
0,1,-17.881210327148438,19.691787719726562,0.3333333432674408,0.6666666865348816,1.0
0,2,-7.867454528808594,51.097076416015625,0.0,0.5,1.0
0,3,-6.55097770690918,5.1435546875,0.75,0.75,1.0
0,4,-5.022696495056152,151.8201446533203,0.0,0.0,1.0
0,5,-13.462350845336914,28.95050811767578,0.5,0.75,0.75
0,6,-3.4349007606506348,31.02833366394043,0.0,1.0,1.0
0,7,-15.084239959716797,1885.8236083984375,0.0,0.0,0.5
0,8,-6.991157531738281,5.74189567565918,0.25,1.0,1.0
0,9,-26.20188331604004,78.80532836914062,0.1666666716337204,0.5,0.8333333730697632
0,10,-29.594003677368164,26.795194625854492,0.4444444477558136,0.6666666865348816,0.7777777910232544
0,11,-16.594764709472656,15.891653060913086,0.3333333432674408,0.8333333730697632,0.8333333730697632
0,12,-8.572463989257812,72.69204711914062,0.0,0.5,1.0
1,0,-10.542976379394531,33.593257904052734,0.3333333432674408,0.3333333432674408,1.0
1,1,-17.881210327148438,19.691787719726562,0.3333333432674408,0.6666666865348816,1.0
1,2,-7.867454528808594,51.097076416015625,0.0,0.5,1.0
1,3,-6.55097770690918,5.1435546875,0.75,0.75,1.0
1,4,-5.022696495056152,151.8201446533203,0.0,0.0,1.0
1,5,-13.462350845336914,28.95050811767578,0.5,0.75,0.75
1,6,-3.4349007606506348,31.02833366394043,0.0,1.0,1.0
1,7,-15.084239959716797,1885.8236083984375,0.0,0.0,0.5
1,8,-6.991157531738281,5.74189567565918,0.25,1.0,1.0
1,9,-26.20188331604004,78.80532836914062,0.1666666716337204,0.5,0.8333333730697632
1,10,-29.594003677368164,26.795194625854492,0.4444444477558136,0.6666666865348816,0.7777777910232544
1,11,-16.594764709472656,15.891653060913086,0.3333333432674408,0.8333333730697632,0.8333333730697632
1,12,-8.572463989257812,72.69204711914062,0.0,0.5,1.0
2,0,-10.545058250427246,33.616580963134766,0.3333333432674408,0.3333333432674408,1.0
2,1,-17.882171630859375,19.694942474365234,0.3333333432674408,0.6666666865348816,1.0
2,2,-7.871232032775879,51.19367599487305,0.0,0.5,1.0
2,3,-6.559989929199219,5.15515661239624,0.75,0.75,1.0
2,4,-4.995466709136963,147.74188232421875,0.0,0.0,1.0
2,5,-13.476563453674316,29.053556442260742,0.5,0.75,0.75
2,6,-3.4315617084503174,30.924901962280273,0.0,1.0,1.0
2,7,-15.040284156799316,1844.829345703125,0.0,0.0,0.5
2,8,-7.019744873046875,5.783079147338867,0.25,1.0,1.0
2,9,-26.294628143310547,80.03292846679688,0.1666666716337204,0.5,0.8333333730697632
2,10,-29.652904510498047,26.971132278442383,0.4444444477558136,0.6666666865348816,0.7777777910232544
2,11,-16.55844497680664,15.795748710632324,0.3333333432674408,0.8333333730697632,0.8333333730697632
2,12,-8.563833236694336,72.3790283203125,0.0,0.5,1.0
3,0,-10.519538879394531,33.33183288574219,0.3333333432674408,0.3333333432674408,1.0
3,1,-17.84392547607422,19.569801330566406,0.3333333432674408,0.6666666865348816,1.0
3,2,-7.8677215576171875,51.10389709472656,0.0,0.5,1.0
3,3,-6.605215549468994,5.213773727416992,0.75,0.75,1.0
3,4,-5.033211708068848,153.4249725341797,0.0,0.0,1.0
3,5,-13.551504135131836,29.603010177612305,0.5,0.75,0.75
3,6,-3.4554648399353027,31.67300796508789,0.0,1.0,1.0
3,7,-15.030832290649414,1836.1314697265625,0.0,0.0,0.5
3,8,-7.036240100860596,5.806976795196533,0.25,1.0,1.0
3,9,-26.171344757080078,78.40524291992188,0.1666666716337204,0.5,0.8333333730697632
3,10,-29.606212615966797,26.83156967163086,0.4444444477558136,0.6666666865348816,0.7777777910232544
3,11,-16.60605239868164,15.92158031463623,0.3333333432674408,0.8333333730697632,0.8333333730697632
3,12,-8.529898643493652,71.16131591796875,0.0,0.5,1.0
4,0,-10.48774528503418,32.9804573059082,0.3333333432674408,0.3333333432674408,1.0
4,1,-17.747175216674805,19.25676918029785,0.3333333432674408,0.6666666865348816,1.0
4,2,-7.853016376495361,50.729530334472656,0.0,0.5,1.0
4,3,-6.627165794372559,5.242463111877441,0.75,0.75,1.0
4,4,-5.0107622146606445,150.01904296875,0.0,0.0,1.0
4,5,-13.512310028076172,29.314359664916992,0.5,0.75,0.75
4,6,-3.4618773460388184,31.87676429748535,0.0,1.0,1.0
4,7,-14.901483535766602,1721.1392822265625,0.0,0.0,0.5
4,8,-7.0404157638549805,5.813041687011719,0.25,1.0,1.0
4,9,-26.10638427734375,77.56095886230469,0.1666666716337204,0.5,0.8333333730697632
4,10,-29.495407104492188,26.503252029418945,0.4444444477558136,0.6666666865348816,0.7777777910232544
4,11,-16.59505844116211,15.892435073852539,0.3333333432674408,0.8333333730697632,0.8333333730697632
4,12,-8.498655319213867,70.05828857421875,0.0,0.5,1.0
5,0,-10.520198822021484,33.339168548583984,0.3333333432674408,0.3333333432674408,1.0
5,1,-17.55120849609375,18.63797950744629,0.3333333432674408,0.6666666865348816,1.0
5,2,-7.8216447830200195,49.940006256103516,0.0,0.5,1.0
5,3,-6.670821189880371,5.299992084503174,0.75,0.75,1.0
5,4,-5.0142388343811035,150.54150390625,0.0,0.0,1.0
5,5,-13.519563674926758,29.36756706237793,0.5,0.75,0.75
5,6,-3.4672207832336426,32.04755401611328,0.0,1.0,1.0
5,7,-14.735370635986328,1583.963134765625,0.0,0.0,0.5
5,8,-7.070116996765137,5.856366157531738,0.25,1.0,1.0
5,9,-25.91448974609375,75.11962127685547,0.1666666716337204,0.5,0.8333333730697632
5,10,-29.235671997070312,25.74931526184082,0.4444444477558136,0.6666666865348816,0.7777777910232544
5,11,-16.56521224975586,15.813575744628906,0.3333333432674408,0.8333333730697632,0.8333333730697632
5,12,-8.468806266784668,69.02046966552734,0.0,0.5,1.0
6,0,-10.427253723144531,32.32209777832031,0.3333333432674408,0.3333333432674408,1.0
6,1,-17.326414108276367,17.952611923217773,0.3333333432674408,0.6666666865348816,1.0
6,2,-7.779361724853516,48.89528274536133,0.0,0.5,1.0
6,3,-6.761126518249512,5.42100715637207,0.75,0.75,1.0
6,4,-4.985588073730469,146.28958129882812,0.0,0.0,1.0
6,5,-13.542140007019043,29.533788681030273,0.5,0.75,0.75
6,6,-3.5091912746429443,33.42123031616211,0.0,1.0,1.0
6,7,-14.487586975097656,1399.3924560546875,0.0,0.0,0.5
6,8,-7.054194450378418,5.833100318908691,0.25,1.0,1.0
6,9,-25.761428833007812,73.22753143310547,0.1666666716337204,0.5,0.6666666865348816
6,10,-29.046615600585938,25.214059829711914,0.4444444477558136,0.6666666865348816,0.7777777910232544
6,11,-16.627540588378906,15.9787015914917,0.3333333432674408,0.8333333730697632,0.8333333730697632
6,12,-8.368919372558594,65.65802001953125,0.0,0.5,1.0
7,0,-10.412960052490234,32.16846466064453,0.3333333432674408,0.3333333432674408,1.0
7,1,-16.94656753540039,16.851301193237305,0.3333333432674408,0.6666666865348816,1.0
7,2,-7.7258405685424805,47.60416793823242,0.0,0.5,1.0
7,3,-6.994880676269531,5.7472429275512695,0.75,0.75,1.0
7,4,-4.991089820861816,147.09664916992188,0.0,0.0,1.0
7,5,-13.530473709106445,29.447776794433594,0.5,0.75,0.75
7,6,-3.5705437660217285,35.535911560058594,0.0,1.0,1.0
7,7,-14.156283378601074,1185.762939453125,0.0,0.5,0.5
7,8,-7.095150947570801,5.893133163452148,0.25,1.0,1.0
7,9,-25.49383544921875,70.03340911865234,0.1666666716337204,0.5,0.6666666865348816
7,10,-28.66100311279297,24.15656280517578,0.4444444477558136,0.6666666865348816,0.7777777910232544
7,11,-16.538179397583008,15.742486000061035,0.3333333432674408,0.8333333730697632,0.8333333730697632
7,12,-8.241203308105469,61.596290588378906,0.0,0.5,1.0
8,0,-10.390636444091797,31.92998695373535,0.3333333432674408,0.3333333432674408,1.0
8,1,-16.678037643432617,16.11374855041504,0.3333333432674408,0.6666666865348816,1.0
8,2,-7.653496742248535,45.91300582885742,0.0,0.5,1.0
8,3,-7.009740352630615,5.768632888793945,0.75,0.75,1.0
8,4,-5.001224517822266,148.5950164794922,0.0,0.0,1.0
8,5,-13.586250305175781,29.861276626586914,0.5,0.75,0.75
8,6,-3.5904037952423096,36.24871063232422,0.0,1.0,1.0
8,7,-13.667015075683594,928.441650390625,0.0,0.5,0.5
8,8,-7.1133623123168945,5.920024394989014,0.25,1.0,1.0
8,9,-25.2078857421875,66.7740478515625,0.1666666716337204,0.5,0.6666666865348816
8,10,-28.332862854003906,23.291671752929688,0.4444444477558136,0.6666666865348816,0.7777777910232544
8,11,-16.58318519592285,15.861016273498535,0.3333333432674408,0.8333333730697632,0.8333333730697632
8,12,-8.103730201721191,57.504608154296875,0.0,0.5,1.0
9,0,-10.34654426574707,31.46412467956543,0.3333333432674408,0.3333333432674408,1.0
9,1,-16.448488235473633,15.5089111328125,0.3333333432674408,0.6666666865348816,1.0
9,2,-7.590657711029053,44.492862701416016,0.0,0.5,1.0
9,3,-7.136695861816406,5.954659461975098,0.75,0.75,1.0
9,4,-4.992910385131836,147.36468505859375,0.0,0.0,1.0
9,5,-13.626190185546875,30.160934448242188,0.5,0.75,0.75
9,6,-3.6468119621276855,38.352203369140625,0.0,1.0,1.0
9,7,-13.209661483764648,738.6548461914062,0.0,0.5,0.5
9,8,-7.217132568359375,6.0756144523620605,0.25,1.0,1.0
9,9,-24.829853057861328,62.696712493896484,0.1666666716337204,0.6666666865348816,0.6666666865348816
9,10,-27.94314956665039,22.30463409423828,0.4444444477558136,0.6666666865348816,0.7777777910232544
9,11,-16.658039093017578,16.060129165649414,0.3333333432674408,0.8333333730697632,0.8333333730697632
9,12,-8.05960750579834,56.24987030029297,0.0,0.5,1.0
10,0,-10.260890007019043,30.5784854888916,0.3333333432674408,0.3333333432674408,1.0
10,1,-16.161596298217773,14.784797668457031,0.3333333432674408,0.6666666865348816,1.0
10,2,-7.547712326049805,43.54766845703125,0.0,1.0,1.0
10,3,-7.1971049308776855,6.0452704429626465,0.75,0.75,1.0
10,4,-4.967785358428955,143.70826721191406,0.0,0.0,1.0
10,5,-13.482806205749512,29.098936080932617,0.5,0.75,0.75
10,6,-3.6646978855133057,39.04433822631836,0.0,1.0,1.0
10,7,-12.579266548156738,538.9556274414062,0.5,0.5,0.5
10,8,-7.173189640045166,6.00923490524292,0.25,1.0,1.0
10,9,-24.35476303100586,57.92374038696289,0.1666666716337204,0.6666666865348816,0.6666666865348816
10,10,-27.60114860534668,21.472957611083984,0.4444444477558136,0.6666666865348816,0.7777777910232544
10,11,-16.627683639526367,15.979083061218262,0.3333333432674408,0.8333333730697632,0.8333333730697632
10,12,-7.917898178100586,52.402225494384766,0.0,0.5,1.0
