step,corpus_perplexity,corpus_loss
1,6.267006874084473,1.8352989440958802
2,6.2595624923706055,1.8341103179267098
3,6.239078998565674,1.8308325689306575
4,6.202003479003906,1.8248723928276347
5,6.145780563354492,1.8157657758801022
6,6.05258321762085,1.8004851580489407
7,5.958742141723633,1.7848593647144118
8,5.8632893562316895,1.7687106768317644
9,5.754265308380127,1.749941319136659
10,5.611982822418213,1.7249040026855733
11,5.417057514190674,1.6895528168721095
12,5.242650032043457,1.6568271337704763
13,5.089221000671387,1.6271247427190205
14,4.950076103210449,1.59940293063281
15,4.818013668060303,1.5723617035545696
16,4.693375110626221,1.5461520072998922
17,4.577957630157471,1.5212530160641802
18,4.470016002655029,1.4973919375454852
19,4.368887901306152,1.474508570389853
20,4.275350570678711,1.4528661069784374
21,4.166297435760498,1.4270276431755795
22,4.061266899108887,1.4014949372172025
23,3.9628467559814453,1.3769626899112983
24,3.8715460300445557,1.3536539627084745
25,3.7865054607391357,1.3314435887649574
26,3.7040321826934814,1.3094220515525803
27,3.6232309341430664,1.2873661052662035
28,3.547462224960327,1.2662325356093889
29,3.476299524307251,1.2459683510685824
30,3.4100444316864014,1.226725379262346
31,3.3324155807495117,1.2036973971564795
32,3.262788772583008,1.1825822707121543
33,3.1995673179626465,1.1630156541870937
34,3.1405670642852783,1.1444033419435524
35,3.0880134105682373,1.127527981333805
36,3.0398943424224854,1.1118226788691066
37,2.995732307434082,1.0971887319827278
38,2.9544894695281982,1.08332585830509
39,2.917227029800415,1.0706335390943684
40,2.882664442062378,1.0587150159976264
41,2.8349337577819824,1.0420184826529817
42,2.791903495788574,1.0267235758637197
43,2.7531113624572754,1.0127316396909853
44,2.7188680171966553,1.000215656981284
45,2.6884589195251465,0.9889681242735676
46,2.660980701446533,0.9786947343189742
47,2.637026309967041,0.9696518737184738
48,2.61511492729187,0.9613079900220448
49,2.595500946044922,0.9537795762413115
50,2.5768933296203613,0.9465845960753234
51,2.549771547317505,0.9360037279907018
52,2.526249408721924,0.9267357519524203
53,2.5053014755249023,0.9184090460182389
54,2.4863250255584717,0.9108057100222914
55,2.4695518016815186,0.9040367116379804
56,2.4552366733551025,0.8982231886367936
57,2.444232702255249,0.8937312655356707
58,2.432771921157837,0.8890312696626996
59,2.42342209815979,0.8851805816265594
60,2.4156699180603027,0.881976671465441
61,2.4032256603240967,0.8768118576079772
62,2.3926074504852295,0.8723837360739708
63,2.3834388256073,0.8685442576133414
64,2.375321626663208,0.8651328689835512
65,2.368234634399414,0.8621448310472853
66,2.3625104427337646,0.8597248430204326
67,2.357379198074341,0.8575504838741123
68,2.3529937267303467,0.855688369257674
69,2.349344253540039,0.8541362513000794
70,2.347834348678589,0.8534933191204434
71,2.342491865158081,0.8512153278007197
72,2.338667154312134,0.8495811580191495
73,2.3360512256622314,0.8484620094422807
74,2.3328726291656494,0.8471003896170888
75,2.3314857482910156,0.8465056935417883
76,2.3301563262939453,0.8459354118377135
77,2.3291728496551514,0.8455131354993878
78,2.3284389972686768,0.8451980922762201
79,2.3268086910247803,0.844497652782014
80,2.326141119003296,0.8442107311887307
81,2.325244426727295,0.8438251356537665
82,2.323885917663574,0.8432407951177978
83,2.32370662689209,0.8431635429166793
84,2.3229117393493652,0.8428214607050241
85,2.322869062423706,0.8428031024929569
86,2.322552442550659,0.842666746457802
87,2.322054862976074,0.8424525552650513
88,2.322173595428467,0.842503653820707
89,2.322161912918091,0.8424985928327174
90,2.3222672939300537,0.8425440168882932
91,2.322378158569336,0.8425917904618201
92,2.3215744495391846,0.8422455933315484
93,2.321981191635132,0.8424207734304239
94,2.3225908279418945,0.8426833119881416
95,2.3220860958099365,0.8424659798405447
96,2.3219809532165527,0.8424207026416755
97,2.321845293045044,0.8423622050214539
98,2.3225655555725098,0.8426723849769291
99,2.3221065998077393,0.8424748139980748
100,2.322305202484131,0.8425602727379259
