doc,v12_rows,current_rows,rubric_rows,identical_common_retained,content_diff_common_retained,only_current,only_rubric,current_removed,rubric_removed
1_58,138,134,134,100,34,0,0,"[6, 14, 37, 39]","[6, 14, 37, 39]"
BOFT,281,281,277,224,53,4,0,[],"[41, 78, 87, 241]"
ByteLatent,481,479,469,429,40,10,0,"[1, 447]","[1, 18, 95, 176, 181, 202, 224, 274, 350, 424, 447, 449]"
DPO,321,313,308,248,59,6,1,"[35, 37, 45, 50, 79, 91, 309, 318]","[35, 37, 45, 50, 79, 91, 241, 258, 265, 271, 278, 297, 309]"
FeatLLM,304,303,301,258,43,2,0,[2],"[2, 24, 41]"
GRPO,401,391,393,344,46,1,3,"[2, 13, 132, 233, 252, 276, 281, 293, 381, 399]","[2, 13, 132, 276, 281, 293, 364, 381]"
