domain,doc,current_rows,rubric_rows,identical_retained,content_diff_same_source_key,only_current,only_rubric,duplicate_key_unclassified
arxiv,1_58,134,134,13,5,0,0,116
arxiv,BOFT,281,277,25,4,1,0,251
arxiv,ByteLatent,479,469,28,1,0,0,450
arxiv,DPO,313,308,25,4,1,0,284
arxiv,FeatLLM,303,301,23,5,1,0,274
arxiv,GRPO,391,393,19,6,0,0,369
