step,probe_index,mcqa_accuracy
0,0,0.0
0,1,1.0
0,2,1.0
0,3,0.0
0,4,1.0
0,5,0.0
0,6,1.0
0,7,0.0
0,8,0.0
0,9,1.0
0,10,0.0
0,11,1.0
0,12,0.0
0,13,0.0
0,14,0.0
0,15,0.0
0,16,0.0
0,17,1.0
0,18,1.0
0,19,1.0
0,20,1.0
0,21,0.0
0,22,0.0
0,23,0.0
0,24,0.0
0,25,0.0
0,26,0.0
0,27,1.0
0,28,0.0
0,29,0.0
0,30,0.0
0,31,0.0
0,32,1.0
0,33,0.0
0,34,1.0
0,35,0.0
0,36,1.0
0,37,0.0
0,38,0.0
0,39,0.0
0,40,1.0
4,0,0.0
4,1,1.0
4,2,1.0
4,3,0.0
4,4,1.0
4,5,0.0
4,6,1.0
4,7,0.0
4,8,0.0
4,9,1.0
4,10,0.0
4,11,1.0
4,12,0.0
4,13,0.0
4,14,0.0
4,15,0.0
4,16,0.0
4,17,1.0
4,18,1.0
4,19,1.0
4,20,1.0
4,21,0.0
4,22,0.0
4,23,0.0
4,24,0.0
4,25,0.0
4,26,0.0
4,27,1.0
4,28,0.0
4,29,0.0
4,30,0.0
4,31,0.0
4,32,1.0
4,33,0.0
4,34,1.0
4,35,0.0
4,36,1.0
4,37,1.0
4,38,0.0
4,39,0.0
4,40,1.0
8,0,0.0
8,1,0.0
8,2,1.0
8,3,0.0
8,4,1.0
8,5,0.0
8,6,0.0
8,7,0.0
8,8,0.0
8,9,1.0
8,10,0.0
8,11,1.0
8,12,0.0
8,13,0.0
8,14,0.0
8,15,1.0
8,16,0.0
8,17,1.0
8,18,1.0
8,19,1.0
8,20,1.0
8,21,0.0
8,22,0.0
8,23,0.0
8,24,0.0
8,25,0.0
8,26,0.0
8,27,1.0
8,28,0.0
8,29,0.0
8,30,0.0
8,31,0.0
8,32,1.0
8,33,0.0
8,34,1.0
8,35,0.0
8,36,1.0
8,37,0.0
8,38,0.0
8,39,0.0
8,40,0.0
12,0,0.0
12,1,0.0
12,2,1.0
12,3,0.0
12,4,1.0
12,5,0.0
12,6,1.0
12,7,0.0
12,8,0.0
12,9,0.0
12,10,0.0
12,11,1.0
12,12,0.0
12,13,1.0
12,14,0.0
12,15,1.0
12,16,0.0
12,17,1.0
12,18,1.0
12,19,1.0
12,20,1.0
12,21,0.0
12,22,0.0
12,23,0.0
12,24,0.0
12,25,0.0
12,26,0.0
12,27,1.0
12,28,0.0
12,29,0.0
12,30,0.0
12,31,0.0
12,32,0.0
12,33,0.0
12,34,1.0
12,35,0.0
12,36,1.0
12,37,0.0
12,38,0.0
12,39,0.0
12,40,1.0
16,0,0.0
16,1,1.0
16,2,1.0
16,3,0.0
16,4,1.0
16,5,0.0
16,6,1.0
16,7,0.0
16,8,0.0
16,9,0.0
16,10,0.0
16,11,1.0
16,12,0.0
16,13,1.0
16,14,0.0
16,15,0.0
16,16,0.0
16,17,1.0
16,18,1.0
16,19,1.0
16,20,1.0
16,21,0.0
16,22,0.0
16,23,0.0
16,24,0.0
16,25,0.0
16,26,0.0
16,27,1.0
16,28,0.0
16,29,0.0
16,30,0.0
16,31,0.0
16,32,0.0
16,33,0.0
16,34,1.0
16,35,0.0
16,36,1.0
16,37,0.0
16,38,0.0
16,39,0.0
16,40,1.0
20,0,0.0
20,1,1.0
20,2,1.0
20,3,0.0
20,4,1.0
20,5,0.0
20,6,1.0
20,7,0.0
20,8,0.0
20,9,0.0
20,10,0.0
20,11,1.0
20,12,0.0
20,13,1.0
20,14,0.0
20,15,0.0
20,16,0.0
20,17,1.0
20,18,1.0
20,19,1.0
20,20,1.0
20,21,0.0
20,22,0.0
20,23,0.0
20,24,0.0
20,25,0.0
20,26,0.0
20,27,1.0
20,28,0.0
20,29,0.0
20,30,0.0
20,31,0.0
20,32,0.0
20,33,0.0
20,34,1.0
20,35,0.0
20,36,1.0
20,37,0.0
20,38,0.0
20,39,0.0
20,40,1.0
24,0,0.0
24,1,0.0
24,2,1.0
24,3,0.0
24,4,1.0
24,5,0.0
24,6,1.0
24,7,0.0
24,8,0.0
24,9,0.0
24,10,0.0
24,11,1.0
24,12,0.0
24,13,1.0
24,14,0.0
24,15,0.0
24,16,0.0
24,17,1.0
24,18,1.0
24,19,1.0
24,20,1.0
24,21,0.0
24,22,0.0
24,23,0.0
24,24,0.0
24,25,0.0
24,26,0.0
24,27,1.0
24,28,0.0
24,29,0.0
24,30,0.0
24,31,0.0
24,32,0.0
24,33,0.0
24,34,1.0
24,35,0.0
24,36,1.0
24,37,0.0
24,38,0.0
24,39,0.0
24,40,1.0
28,0,0.0
28,1,0.0
28,2,1.0
28,3,0.0
28,4,1.0
28,5,0.0
28,6,1.0
28,7,0.0
28,8,0.0
28,9,0.0
28,10,0.0
28,11,1.0
28,12,0.0
28,13,1.0
28,14,0.0
28,15,0.0
28,16,0.0
28,17,1.0
28,18,1.0
28,19,1.0
28,20,1.0
28,21,0.0
28,22,0.0
28,23,0.0
28,24,0.0
28,25,0.0
28,26,0.0
28,27,1.0
28,28,0.0
28,29,0.0
28,30,0.0
28,31,0.0
28,32,0.0
28,33,0.0
28,34,1.0
28,35,0.0
28,36,1.0
28,37,0.0
28,38,0.0
28,39,0.0
28,40,1.0
32,0,0.0
32,1,0.0
32,2,1.0
32,3,0.0
32,4,1.0
32,5,0.0
32,6,1.0
32,7,0.0
32,8,0.0
32,9,0.0
32,10,0.0
32,11,1.0
32,12,0.0
32,13,1.0
32,14,0.0
32,15,0.0
32,16,0.0
32,17,1.0
32,18,1.0
32,19,1.0
32,20,1.0
32,21,0.0
32,22,0.0
32,23,0.0
32,24,0.0
32,25,0.0
32,26,0.0
32,27,1.0
32,28,0.0
32,29,0.0
32,30,0.0
32,31,0.0
32,32,0.0
32,33,0.0
32,34,1.0
32,35,0.0
32,36,1.0
32,37,0.0
32,38,0.0
32,39,0.0
32,40,1.0
36,0,0.0
36,1,0.0
36,2,1.0
36,3,0.0
36,4,1.0
36,5,0.0
36,6,1.0
36,7,0.0
36,8,0.0
36,9,0.0
36,10,0.0
36,11,1.0
36,12,0.0
36,13,1.0
36,14,0.0
36,15,0.0
36,16,0.0
36,17,1.0
36,18,1.0
36,19,1.0
36,20,1.0
36,21,0.0
36,22,0.0
36,23,0.0
36,24,0.0
36,25,0.0
36,26,0.0
36,27,1.0
36,28,0.0
36,29,0.0
36,30,0.0
36,31,0.0
36,32,0.0
36,33,0.0
36,34,1.0
36,35,0.0
36,36,1.0
36,37,0.0
36,38,0.0
36,39,0.0
36,40,1.0
40,0,0.0
40,1,1.0
40,2,1.0
40,3,0.0
40,4,1.0
40,5,0.0
40,6,1.0
40,7,0.0
40,8,0.0
40,9,0.0
40,10,0.0
40,11,1.0
40,12,0.0
40,13,1.0
40,14,0.0
40,15,0.0
40,16,0.0
40,17,1.0
40,18,1.0
40,19,1.0
40,20,1.0
40,21,0.0
40,22,0.0
40,23,0.0
40,24,0.0
40,25,0.0
40,26,0.0
40,27,1.0
40,28,0.0
40,29,0.0
40,30,0.0
40,31,0.0
40,32,0.0
40,33,0.0
40,34,1.0
40,35,0.0
40,36,1.0
40,37,0.0
40,38,0.0
40,39,0.0
40,40,1.0
44,0,0.0
44,1,0.0
44,2,1.0
44,3,0.0
44,4,1.0
44,5,0.0
44,6,1.0
44,7,0.0
44,8,0.0
44,9,0.0
44,10,0.0
44,11,1.0
44,12,0.0
44,13,1.0
44,14,0.0
44,15,0.0
44,16,0.0
44,17,1.0
44,18,1.0
44,19,1.0
44,20,1.0
44,21,0.0
44,22,0.0
44,23,0.0
44,24,0.0
44,25,0.0
44,26,0.0
44,27,1.0
44,28,0.0
44,29,0.0
44,30,0.0
44,31,0.0
44,32,0.0
44,33,0.0
44,34,1.0
44,35,0.0
44,36,1.0
44,37,0.0
44,38,0.0
44,39,0.0
44,40,1.0
48,0,0.0
48,1,0.0
48,2,1.0
48,3,0.0
48,4,1.0
48,5,0.0
48,6,1.0
48,7,0.0
48,8,0.0
48,9,0.0
48,10,0.0
48,11,1.0
48,12,0.0
48,13,1.0
48,14,0.0
48,15,0.0
48,16,0.0
48,17,1.0
48,18,1.0
48,19,1.0
48,20,1.0
48,21,0.0
48,22,0.0
48,23,0.0
48,24,0.0
48,25,0.0
48,26,0.0
48,27,1.0
48,28,0.0
48,29,0.0
48,30,0.0
48,31,0.0
48,32,0.0
48,33,0.0
48,34,1.0
48,35,0.0
48,36,1.0
48,37,0.0
48,38,0.0
48,39,0.0
48,40,1.0
52,0,0.0
52,1,0.0
52,2,1.0
52,3,0.0
52,4,1.0
52,5,0.0
52,6,1.0
52,7,0.0
52,8,0.0
52,9,0.0
52,10,0.0
52,11,1.0
52,12,0.0
52,13,1.0
52,14,0.0
52,15,0.0
52,16,0.0
52,17,1.0
52,18,1.0
52,19,1.0
52,20,1.0
52,21,0.0
52,22,0.0
52,23,0.0
52,24,0.0
52,25,0.0
52,26,0.0
52,27,1.0
52,28,0.0
52,29,0.0
52,30,0.0
52,31,0.0
52,32,0.0
52,33,0.0
52,34,1.0
52,35,0.0
52,36,1.0
52,37,0.0
52,38,0.0
52,39,0.0
52,40,1.0
56,0,0.0
56,1,0.0
56,2,1.0
56,3,0.0
56,4,1.0
56,5,0.0
56,6,1.0
56,7,0.0
56,8,0.0
56,9,0.0
56,10,0.0
56,11,1.0
56,12,0.0
56,13,1.0
56,14,0.0
56,15,0.0
56,16,0.0
56,17,1.0
56,18,1.0
56,19,1.0
56,20,1.0
56,21,0.0
56,22,0.0
56,23,0.0
56,24,0.0
56,25,0.0
56,26,0.0
56,27,1.0
56,28,0.0
56,29,0.0
56,30,0.0
56,31,0.0
56,32,0.0
56,33,0.0
56,34,1.0
56,35,0.0
56,36,1.0
56,37,0.0
56,38,0.0
56,39,0.0
56,40,1.0
60,0,0.0
60,1,1.0
60,2,1.0
60,3,0.0
60,4,1.0
60,5,0.0
60,6,1.0
60,7,0.0
60,8,0.0
60,9,0.0
60,10,0.0
60,11,1.0
60,12,0.0
60,13,1.0
60,14,0.0
60,15,0.0
60,16,0.0
60,17,1.0
60,18,1.0
60,19,1.0
60,20,1.0
60,21,0.0
60,22,0.0
60,23,0.0
60,24,0.0
60,25,0.0
60,26,0.0
60,27,1.0
60,28,0.0
60,29,0.0
60,30,0.0
60,31,0.0
60,32,0.0
60,33,0.0
60,34,1.0
60,35,0.0
60,36,1.0
60,37,0.0
60,38,0.0
60,39,0.0
60,40,1.0
64,0,0.0
64,1,1.0
64,2,1.0
64,3,0.0
64,4,1.0
64,5,0.0
64,6,1.0
64,7,0.0
64,8,0.0
64,9,0.0
64,10,0.0
64,11,1.0
64,12,0.0
64,13,1.0
64,14,0.0
64,15,0.0
64,16,0.0
64,17,1.0
64,18,1.0
64,19,1.0
64,20,1.0
64,21,0.0
64,22,0.0
64,23,0.0
64,24,0.0
64,25,0.0
64,26,0.0
64,27,1.0
64,28,0.0
64,29,0.0
64,30,0.0
64,31,0.0
64,32,0.0
64,33,0.0
64,34,1.0
64,35,0.0
64,36,1.0
64,37,0.0
64,38,0.0
64,39,0.0
64,40,1.0
68,0,0.0
68,1,1.0
68,2,1.0
68,3,0.0
68,4,1.0
68,5,0.0
68,6,1.0
68,7,0.0
68,8,0.0
68,9,0.0
68,10,0.0
68,11,1.0
68,12,0.0
68,13,1.0
68,14,0.0
68,15,0.0
68,16,0.0
68,17,1.0
68,18,1.0
68,19,1.0
68,20,1.0
68,21,0.0
68,22,0.0
68,23,0.0
68,24,0.0
68,25,0.0
68,26,0.0
68,27,1.0
68,28,0.0
68,29,0.0
68,30,0.0
68,31,0.0
68,32,0.0
68,33,0.0
68,34,1.0
68,35,0.0
68,36,1.0
68,37,0.0
68,38,0.0
68,39,0.0
68,40,1.0
72,0,0.0
72,1,1.0
72,2,1.0
72,3,0.0
72,4,1.0
72,5,0.0
72,6,1.0
72,7,0.0
72,8,0.0
72,9,0.0
72,10,0.0
72,11,1.0
72,12,0.0
72,13,1.0
72,14,0.0
72,15,0.0
72,16,0.0
72,17,1.0
72,18,1.0
72,19,1.0
72,20,1.0
72,21,0.0
72,22,0.0
72,23,0.0
72,24,0.0
72,25,0.0
72,26,0.0
72,27,1.0
72,28,0.0
72,29,0.0
72,30,0.0
72,31,0.0
72,32,0.0
72,33,0.0
72,34,1.0
72,35,0.0
72,36,1.0
72,37,0.0
72,38,0.0
72,39,0.0
72,40,1.0
76,0,0.0
76,1,1.0
76,2,1.0
76,3,0.0
76,4,1.0
76,5,0.0
76,6,1.0
76,7,0.0
76,8,0.0
76,9,0.0
76,10,0.0
76,11,1.0
76,12,0.0
76,13,1.0
76,14,0.0
76,15,0.0
76,16,0.0
76,17,1.0
76,18,1.0
76,19,1.0
76,20,1.0
76,21,0.0
76,22,0.0
76,23,0.0
76,24,0.0
76,25,0.0
76,26,0.0
76,27,1.0
76,28,0.0
76,29,0.0
76,30,0.0
76,31,0.0
76,32,0.0
76,33,0.0
76,34,1.0
76,35,0.0
76,36,1.0
76,37,0.0
76,38,0.0
76,39,0.0
76,40,1.0
80,0,0.0
80,1,1.0
80,2,1.0
80,3,0.0
80,4,1.0
80,5,0.0
80,6,1.0
80,7,0.0
80,8,0.0
80,9,0.0
80,10,0.0
80,11,1.0
80,12,0.0
80,13,1.0
80,14,0.0
80,15,0.0
80,16,0.0
80,17,1.0
80,18,1.0
80,19,1.0
80,20,1.0
80,21,0.0
80,22,0.0
