step,corpus_perplexity,corpus_loss
1,5.958137035369873,1.7847578817705965
2,5.957029342651367,1.7845719434224079
3,5.958961009979248,1.7848960891218666
4,5.957668781280518,1.7846793519723496
5,5.95871114730835,1.7848541443645392
6,5.956653594970703,1.7845088481214388
7,5.954857349395752,1.784207281927548
8,5.957816123962402,1.7847039396531608
9,5.955935001373291,1.7843881947055762
10,5.955686569213867,1.7843464872543315
11,5.95522928237915,1.7842697177300413
12,5.953035831451416,1.783901333914851
13,5.950742721557617,1.7835160058255382
14,5.949795246124268,1.7833568266187425
15,5.94870662689209,1.7831737632924167
16,5.9477152824401855,1.7830071093016049
17,5.94606351852417,1.7827293782111817
18,5.942013740539551,1.7820481582424823
19,5.940564155578613,1.7818040391787227
20,5.936264991760254,1.7810801172929265
21,5.932612895965576,1.7804647523182628
22,5.9302520751953125,1.7800667647083208
23,5.932117462158203,1.780381166382692
24,5.928313255310059,1.7797397906986054
25,5.92296028137207,1.7788364096702887
26,5.917940616607666,1.77798851597721
27,5.912998199462891,1.7771530295461964
28,5.90882682800293,1.776447285282494
29,5.904500484466553,1.7757148467200476
30,5.900254249572754,1.7749954163001758
31,5.896281719207764,1.774321858054624
32,5.887998104095459,1.77291608136199
33,5.8820672035217285,1.7719082763732479
34,5.876539707183838,1.7709680601247562
35,5.870776176452637,1.7699868160543832
36,5.864534854888916,1.7689232155688934
37,5.855454921722412,1.767373713781113
38,5.849656581878662,1.7663828980563787
39,5.841770648956299,1.7650339799302908
40,5.8367085456848145,1.764167046602561
41,5.827176570892334,1.7625326219498747
42,5.822740077972412,1.761770926307485
43,5.81335973739624,1.7601587091362645
44,5.803757667541504,1.7585056100523666
45,5.795397758483887,1.7570641039080281
46,5.786757469177246,1.7555720759370488
47,5.778497695922852,1.7541436998860833
48,5.771884918212891,1.7529986620796958
49,5.757707118988037,1.7505393238574078
50,5.74616813659668,1.7485332528348367
51,5.734833717346191,1.746558778975463
52,5.727363586425781,1.7452553044212036
53,5.716174125671387,1.743299759873919
54,5.708379745483398,1.7419351988826217
55,5.692612171173096,1.739169274405789
56,5.680200576782227,1.7369865412288819
57,5.666149616241455,1.7345098300505155
58,5.654478549957275,1.7324478095034177
59,5.643149375915527,1.7304423263954753
60,5.63525390625,1.7290421345673352
61,5.617074012756348,1.7258108415122615
62,5.602901458740234,1.723284625514403
63,5.5855631828308105,1.7201853194457666
64,5.5769476890563965,1.7186416618665872
65,5.565028190612793,1.716502057567012
66,5.557018280029297,1.7150616721303817
67,5.540858745574951,1.7121495029129277
68,5.528541088104248,1.7099240339672468
69,5.514871597290039,1.7074484044929938
70,5.502674102783203,1.7052341651392042
71,5.496819972991943,1.7041698073615048
72,5.486520767211914,1.7022943159114412
73,5.470741271972656,1.6994141506070681
74,5.456532955169678,1.6968136404291971
75,5.445011138916016,1.6946997681454465
76,5.433655738830566,1.692612211130259
77,5.427383899688721,1.6914572664902299
78,5.418557167053223,1.689829574321564
79,5.403957843780518,1.6871316998736776
80,5.390901565551758,1.6847126881634709
81,5.379433631896973,1.6825830556064059
82,5.3694257736206055,1.680720899862894
83,5.362240791320801,1.6793819842186521
84,5.353638172149658,1.6777763299552113
85,5.340320587158203,1.6752856858981051
86,5.327930450439453,1.672962934252236
87,5.318397521972656,1.671171996371241
88,5.309720993041992,1.6695392909625837
89,5.301489353179932,1.6679878634832235
90,5.2956109046936035,1.6668783509854461
91,5.280027866363525,1.6639314178837206
92,5.270582675933838,1.6621409389472328
93,5.258944988250732,1.6599304770088343
94,5.250279426574707,1.658281333445708
95,5.243066787719727,1.6569065939464935
96,5.2357330322265625,1.6555068720686292
97,5.221723556518555,1.6528274857485352
98,5.208764553070068,1.6503426799137397
99,5.200522422790527,1.648759168553996
100,5.190016269683838,1.6467368675197394
101,5.181185722351074,1.645033998590564
102,5.175642490386963,1.643963467292078
103,5.161059379577637,1.6411418496284362
104,5.150376796722412,1.639069956708598
105,5.141920566558838,1.6374266337797438
106,5.131627559661865,1.635422819283999
107,5.1257805824279785,1.6342828435482495
108,5.118574619293213,1.6328759985544352
109,5.1057963371276855,1.6303764893973938
110,5.096532821655273,1.6285604713572592
111,5.084868907928467,1.6262691713097281
112,5.077561378479004,1.6248310904624184
113,5.068481922149658,1.6230413692684362
114,5.062183380126953,1.6217979058439553
115,5.047868251800537,1.6189659978929936
116,5.034711837768555,1.61635626836454
117,5.0257439613342285,1.6145734349537817
118,5.017323970794678,1.6128967045121902
119,5.007643699645996,1.6109655313976021
120,5.0019097328186035,1.6098197153602332
121,4.989346981048584,1.6073050663717825
122,4.97770357131958,1.6049686125577416
123,4.967311382293701,1.6028786984275094
124,4.957926273345947,1.600987583845804
125,4.950510025024414,1.5994906012925316
126,4.946012496948242,1.5985816899650216
127,4.933687210083008,1.5960866703667675
128,4.921597957611084,1.5936333086342034
129,4.913407325744629,1.591967706110276
130,4.905860900878906,1.5904305865004147
131,4.898695945739746,1.5889689537726857
132,4.8932037353515625,1.5878471775911025
133,4.8834686279296875,1.5858557332212322
134,4.8725199699401855,1.5836113080119123
135,4.8667311668396,1.582422553016244
136,4.857165813446045,1.580455079249257
137,4.852794647216797,1.5795547497853903
138,4.846311092376709,1.5782179076490688
139,4.835629463195801,1.5760112679967508
140,4.825903415679932,1.573997959085682
141,4.816819667816162,1.57211385096673
142,4.809791088104248,1.5706536238914781
143,4.803922176361084,1.5694327393633407
144,4.797403812408447,1.5680749832875278
145,4.786879062652588,1.5658786820115123
146,4.776660442352295,1.563741668279059
147,4.768550872802734,1.5620425261069557
148,4.762287616729736,1.560728153497984
149,4.7545366287231445,1.5590992550785814
150,4.749814987182617,1.5581057610981677
151,4.738086223602295,1.555633314899995
152,4.729983806610107,1.5539218141640336
153,4.720105171203613,1.551831089818548
154,4.715980529785156,1.5509569017427018
155,4.708932399749756,1.5494612102680188
156,4.702856540679932,1.5481700935624412
157,4.691613674163818,1.5457765489614694
158,4.685022354125977,1.544370692645877
159,4.6767354011535645,1.5426002388701892
160,4.668710231781006,1.5408828403138939
161,4.6635942459106445,1.5397864353814372
162,4.658716201782227,1.5387398985780196
163,4.649051189422607,1.536663191846418
164,4.640110015869141,1.5347380623156832
165,4.63296365737915,1.5331967818499963
166,4.627490997314453,1.532014829001815
167,4.622003555297852,1.5308282899798293
168,4.616783618927002,1.5296982428376218
169,4.607736587524414,1.5277367356273548
170,4.600404262542725,1.5261441527995887
171,4.593653202056885,1.5246756587236698
172,4.58651065826416,1.5231195352644593
173,4.582816123962402,1.5223137326352318
174,4.576293468475342,1.5208894305726632
175,4.567121505737305,1.5188831397658282
176,4.561438083648682,1.517637932198589
177,4.551729679107666,1.5155073320080261
178,4.5474748611450195,1.5145721640034313
179,4.543415069580078,1.5136789626882363
180,4.538961887359619,1.5126983257495434
181,4.531175136566162,1.5109813725229184
182,4.522526741027832,1.5090708823591295
183,4.515470504760742,1.5075093254673786
184,4.50850772857666,1.5059661717828599
185,4.5071234703063965,1.5056591614155408
186,4.500809192657471,1.5042571678464645
187,4.492763996124268,1.5024681142562892
188,4.483555316925049,1.5004162446563343
189,4.4760050773620605,1.4987309555016204
190,4.471676349639893,1.4977633365325538
191,4.4677863121032715,1.4968930908394262
192,4.464381694793701,1.4961306962049374
193,4.455597877502441,1.4941612671460196
194,4.447561740875244,1.4923560561742826
195,4.443162441253662,1.4913663829966208
196,4.436919212341309,1.4899603277030964
197,4.432249069213867,1.4889070827316515
198,4.426713943481445,1.4876574902729967
199,4.420220375061035,1.4861895556370956
200,4.413011074066162,1.4845572519720878
201,4.40684175491333,1.4831581714616564
202,4.401185035705566,1.48187389325836
203,4.396054744720459,1.4807075455432177
204,4.392752170562744,1.4799559045243218
205,4.385561466217041,1.4783176723261329
206,4.3778157234191895,1.4765499166191558
207,4.37208366394043,1.4752397919320992
208,4.3668646812438965,1.4740452758869373
209,4.363336086273193,1.4732369383750075
210,4.359243869781494,1.4722985721484725
211,4.351842403411865,1.4705992473680276
212,4.346113204956055,1.4692819035790945
213,4.341658592224121,1.4682564759516687
214,4.335877418518066,1.4669239503809404
215,4.330867290496826,1.4657678427782048
216,4.32634162902832,1.4647223093670987
217,4.3199782371521,1.4632503474212968
218,4.314339637756348,1.4619442756116927
219,4.309430122375488,1.460805675914825
220,4.304654121398926,1.459696713129344
221,4.299802780151367,1.458569120200604
222,4.2977519035339355,1.458092076482276
223,4.289169788360596,1.4560931985768433
224,4.283285617828369,1.4547204129458295
225,4.280491828918457,1.4540679136351364
226,4.272400856018066,1.452176016120828
227,4.27058744430542,1.4517513624814706
