step,corpus_perplexity,corpus_loss
1,6.781719642012024,1.9142307043075562
2,6.686028980731521,1.9000201225280762
3,6.442070217418647,1.8628499507904053
4,6.109608726318774,1.809862732887268
5,5.5715965484801515,1.717681646347046
6,5.0579291273271165,1.6209571361541748
7,4.831198534401473,1.5750945806503296
8,4.68934695681658,1.5452933311462402
9,4.67498668470279,1.5422263145446777
10,4.548134829149381,1.5147172212600708
11,4.543772915955575,1.5137577056884766
12,4.398292121880212,1.481216311454773
13,4.3334005576539045,1.4663525819778442
14,4.306414509633535,1.4601056575775146
15,4.286641601798524,1.4555035829544067
16,4.165546906552513,1.4268475770950317
17,4.106589537789308,1.412592887878418
18,4.086719702440636,1.4077426195144653
19,4.053833962409011,1.3996630907058716
20,3.948896656950886,1.3734362125396729
21,3.9110691544863374,1.3638107776641846
22,3.9041488854228645,1.3620398044586182
23,3.876804934688311,1.3550113439559937
24,3.794758553915142,1.3336207866668701
25,3.733662766022388,1.317389726638794
26,3.6867029940990474,1.3047325611114502
27,3.63895368384519,1.2916961908340454
28,3.595828513742275,1.2797744274139404
29,3.5696476661449386,1.2724668979644775
30,3.5499666516212396,1.2669382095336914
31,3.4756430571458607,1.2457795143127441
32,3.41561129727668,1.2283564805984497
33,3.369454581330689,1.21475088596344
34,3.3349888070606912,1.2044693231582642
35,3.2926072104016635,1.1916797161102295
36,3.2672339773770442,1.183943748474121
37,3.2508513996355006,1.1789169311523438
38,3.240311385060315,1.1756694316864014
39,3.184671539465293,1.1583491563796997
40,3.147102628964096,1.146482229232788
41,3.123139941372832,1.1388388872146606
42,3.10568191239671,1.1332333087921143
43,3.0563119918649218,1.1172089576721191
44,3.031084074116481,1.1089203357696533
45,3.0286539977818716,1.1081182956695557
46,3.031859956167589,1.1091762781143188
47,2.9819343844262036,1.0925722122192383
48,2.9839107651396826,1.0932347774505615
49,2.9905532039386546,1.0954583883285522
50,2.9943145214891147,1.0967153310775757
51,2.9584935400882686,1.084680199623108
52,2.929843551197899,1.074949026107788
53,2.908768255076255,1.0677297115325928
54,2.894637170997067,1.0628597736358643
55,2.874699131981868,1.05594801902771
56,2.8654258287362784,1.0527169704437256
57,2.860321970285923,1.0509341955184937
58,2.8568709802064083,1.049726963043213
59,2.8389401764145163,1.0434308052062988
60,2.824086980533593,1.0381851196289062
61,2.8146974266063123,1.034854769706726
62,2.802549055054392,1.0305293798446655
63,2.7867933973543706,1.0248916149139404
64,2.7732843025617773,1.020032286643982
65,2.764034002882752,1.0166912078857422
66,2.7575846855101345,1.014355182647705
67,2.7483510401694766,1.0110011100769043
68,2.7407086004884933,1.0082165002822876
69,2.7363914863410272,1.006640076637268
70,2.730169718609361,1.004363775253296
71,2.722092992051735,1.0014010667800903
72,2.715537424171578,0.9989898800849915
73,2.7102897027127826,0.9970555305480957
74,2.7056352061578526,0.9953367114067078
75,2.7003609091983436,0.9933854341506958
76,2.6976569481669666,0.992383599281311
77,2.694810326773745,0.9913278222084045
78,2.692093791537529,0.9903192520141602
79,2.689426001097869,0.9893277883529663
80,2.687004924031581,0.9884271621704102
81,2.6857697494024677,0.9879673719406128
82,2.6823726684777975,0.9867017269134521
83,2.680277755406984,0.9859204292297363
84,2.6781062597950194,0.9851099252700806
85,2.6773265926172467,0.9848187565803528
86,2.674816123418131,0.9838806390762329
87,2.67382241229681,0.9835090637207031
88,2.6710232302427332,0.9824616312980652
89,2.6708492244186774,0.9823964834213257
90,2.6703194759378657,0.9821981191635132
91,2.670489627080022,0.9822618365287781
92,2.6687502673071926,0.9816102981567383
93,2.6676584757516104,0.9812011122703552
94,2.667586765534502,0.9811742305755615
95,2.666448723338305,0.9807475209236145
96,2.6650635077404172,0.9802278876304626
97,2.6663141107148673,0.9806970357894897
98,2.6636986990199616,0.9797156453132629
99,2.6632508498463574,0.9795475006103516
100,2.6629408445282117,0.9794310927391052
