Model,BatchSize,Type,Value,FinalStep,Domains,Rows,RunPath
1B,256,Factual,-17.645438214224164,50,36,167310,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/results/FT/full/1b/para49/fill_dclm/domains_arxiv_all-legal_all-medical_all/e50/bs256_lr4e-05/overlap_1_16/E2_paraphrase_all_domains_local_no_explanation_match/eval_bundles/inf_mcqa_v14
1B,256,Compositional,-16.736298244498496,50,36,11180,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/results/FT/full/1b/para49/fill_dclm/domains_arxiv_all-legal_all-medical_all/e50/bs256_lr4e-05/overlap_1_16/E2_paraphrase_all_domains_local_no_explanation_match/eval_bundles/inf_mcqa_v14
1B,512,Factual,-17.786867591238522,50,36,167310,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/results/FT/full/1b/para49/fill_dclm/domains_arxiv_all-legal_all-medical_all/e50/bs512_lr4e-05/overlap_1_16/E2_paraphrase_all_domains_local_no_explanation_match/eval_bundles/inf_mcqa_v14
1B,512,Compositional,-16.822110750370246,50,36,11180,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/results/FT/full/1b/para49/fill_dclm/domains_arxiv_all-legal_all-medical_all/e50/bs512_lr4e-05/overlap_1_16/E2_paraphrase_all_domains_local_no_explanation_match/eval_bundles/inf_mcqa_v14
7B,128,Factual,-13.003531952754166,50,36,167310,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/results/FT/full/7b/para49/fill_dclm/domains_arxiv_all-legal_all-medical_all/e50/bs128_lr4e-05/overlap_1_16/E2_paraphrase_all_domains_local_no_explanation_match/eval_bundles/inf_mcqa_v14
7B,128,Compositional,-13.423041016175304,50,36,11180,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/results/FT/full/7b/para49/fill_dclm/domains_arxiv_all-legal_all-medical_all/e50/bs128_lr4e-05/overlap_1_16/E2_paraphrase_all_domains_local_no_explanation_match/eval_bundles/inf_mcqa_v14
7B,256,Factual,-13.857177265875892,50,36,328185,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/results/FT/full/7b/para49/fill_dclm/domains_arxiv_all-legal_all-medical_all/e50/bs256_lr4e-05/overlap_1_16/E2_paraphrase_all_domains_local_no_explanation_match/eval_bundles/inf_mcqa_v14
7B,256,Compositional,-13.84487473129533,50,36,21930,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/results/FT/full/7b/para49/fill_dclm/domains_arxiv_all-legal_all-medical_all/e50/bs256_lr4e-05/overlap_1_16/E2_paraphrase_all_domains_local_no_explanation_match/eval_bundles/inf_mcqa_v14
7B,512,Factual,-14.09744220025658,50,36,167310,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/results/FT/full/7b/para49/fill_dclm/domains_arxiv_all-legal_all-medical_all/e50/bs512_lr4e-05/overlap_1_16/E2_paraphrase_all_domains_local_no_explanation_match/eval_bundles/inf_mcqa_v14
7B,512,Compositional,-13.982582295426102,50,36,11180,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/results/FT/full/7b/para49/fill_dclm/domains_arxiv_all-legal_all-medical_all/e50/bs512_lr4e-05/overlap_1_16/E2_paraphrase_all_domains_local_no_explanation_match/eval_bundles/inf_mcqa_v14
