step,loss,chunked_perplexity
1,2.0612,7.855390625449411
2,2.5725,13.098529866785132
3,2.2322,9.320348307047606
4,2.6633,14.343544781695693
5,2.1702,8.760035872726341
6,2.7489,15.62543444943875
7,2.1848,8.888870601461814
8,2.8961,18.103404237374132
9,2.2485,9.473514900971953
10,2.5432,12.720310907159261
11,2.1978,9.005180294260448
12,2.6789,14.569058514002196
13,2.1207,8.336971325534103
14,2.4907,12.069721969431301
15,2.1157,8.295390507577991
16,2.5046,12.238662521568838
17,2.0886,8.073604202595687
18,2.5091,12.293860605457915
19,2.0931,8.110017289505853
20,2.5481,12.782793387664595
21,1.9873,7.295808462289477
22,2.4624,11.73293682451812
23,2.0743,7.958973227372104
24,2.5545,12.864865616337722
25,2.0599,7.845185252565957
26,2.5734,13.110323850161665
27,2.0974,8.144965448543385
28,2.5073,12.271751560478013
29,2.0686,7.913736128188136
30,2.7162,15.122746483652362
31,2.1123,8.26723407291518
32,2.4814,11.95799389593627
33,2.0467,7.742309282389998
34,2.5971,13.42474975503043
35,2.017,7.515743847426101
36,2.4388,11.45928135118957
37,2.1078,8.23011509991456
38,2.5575,12.90351816301735
39,2.0164,7.511235753681013
40,2.5062,12.25826005544965
41,1.8997,6.683888974781751
42,2.5966,13.418039057966983
43,2.0,7.38905609893065
44,2.5783,13.174722083849915
45,1.9977,7.3720807989813295
46,2.6686,14.419767380501199
47,2.0025,7.407551849232652
48,2.5317,12.574865247200533
49,2.024,7.568538620485311
50,2.6314,13.893206782634554
51,2.0091,7.456603383443545
52,2.4447,11.527090952782048
53,1.9706,7.174980185219572
54,2.7272,15.290014985109895
55,1.9546,7.06109402112991
56,3.0224,20.540529846395334
57,2.0209,7.54511248003993
58,2.4943,12.113251274258303
59,2.0106,7.46779668139343
60,2.5756,13.139198312894997
61,1.9363,6.933051166003673
62,2.4155,11.195366641685927
63,1.9856,7.283416124375299
64,2.5034,12.223984934856295
65,1.9793,7.23767483912946
66,2.6009,13.475860853683312
67,2.0038,7.417187928731248
68,2.8068,16.556851432628086
69,2.0678,7.907407671005977
70,2.7344,15.400500363066913
71,2.0356,7.656844854434833
72,2.6142,13.656286977134672
73,1.9817,7.25506611993252
74,2.539,12.66699763758578
75,1.9607,7.10429833384329
76,2.5987,13.446246547486458
77,2.0066,7.437985157464402
78,2.6298,13.87099542560638
79,1.9925,7.333845476821129
80,2.649,14.139891681391333
81,1.8827,6.571223234357579
82,2.6375,13.978214353505635
83,1.9945,7.348527845249077
84,2.5871,13.291171263092057
85,1.9636,7.124930701484666
86,2.5986,13.444901990060698
87,1.9964,7.362503320652395
88,2.5416,12.699974683025504
89,1.9755,7.210223864624991
90,2.5998,13.461045556651502
91,1.9884,7.303838267181012
92,2.5344,12.60886326003151
93,1.9844,7.274681266988663
94,2.6846,14.652339272210371
95,1.9189,6.813459540141705
96,2.8029,16.492405463366147
97,2.0056,7.430550890060159
98,2.6452,14.086262053828717
99,1.9877,7.298727369416898
