step,corpus_perplexity,corpus_loss
1,9.280084609985352,2.2278707537945106
2,9.234017372131348,2.2228941587552864
3,9.083142280578613,2.20642022442567
4,8.828082084655762,2.1779378278328636
5,8.350698471069336,2.1223451114828933
6,7.815013885498047,2.0560468231100493
7,7.285994529724121,1.9859539787347225
8,6.776970863342285,1.9135301862463554
9,6.496191501617432,1.8712160358944885
10,6.422072410583496,1.8597408640567603
11,6.331551551818848,1.845545244241479
12,6.217929363250732,1.8274368756652115
13,6.148831367492676,1.816261948433814
14,6.111893177032471,1.8102365319076401
15,6.074982166290283,1.804179021045375
16,6.015095233917236,1.7942722040072663
17,5.970750331878662,1.786872610424384
18,5.93240213394165,1.7804292623683045
19,5.883470058441162,1.7721466690124046
20,5.8330912590026855,1.763547058969643
21,5.789506435394287,1.756046965375276
22,5.754846096038818,1.7500422772747375
23,5.711696147918701,1.7425160470690433
24,5.665133476257324,1.734330410199702
25,5.625284194946289,1.727271390726838
26,5.594707489013672,1.7218211206117113
27,5.563419342041016,1.7162128988485101
28,5.52756929397583,1.7097482064648357
29,5.4996867179870605,1.7046911942117016
30,5.473923683166504,1.6999956242704162
31,5.439069747924805,1.6936080391204096
32,5.406989574432373,1.6876924703298357
33,5.380232810974121,1.682731680493695
34,5.356969833374023,1.678398446717971
35,5.329279899597168,1.6732160747008895
36,5.305520534515381,1.6687478514837588
37,5.2873053550720215,1.665308744278473
38,5.2692084312438965,1.6618800932675406
39,5.25304651260376,1.6588082068318433
40,5.2349934577941895,1.6553655796750224
41,5.220448017120361,1.6525832818978279
42,5.210631370544434,1.6507009984197587
43,5.189251899719238,1.6465894876809648
44,5.173558712005615,1.6435607430287198
45,5.160949230194092,1.6411205531013524
46,5.148495674133301,1.638704595650655
47,5.135851860046387,1.6362457429568311
48,5.122824192047119,1.633705885069348
49,5.113489151000977,1.6318819573798549
50,5.104101657867432,1.6300444129254201
51,5.089396953582764,1.6271593984206925
52,5.077987194061279,1.6249149534496674
53,5.069225788116455,1.6231881094676726
54,5.0609588623046875,1.6215559727819036
55,5.0513129234313965,1.6196482487998927
56,5.043028831481934,1.6180067974613552
57,5.035989761352539,1.616609993069712
58,5.028975963592529,1.6152163809353264
59,5.021592140197754,1.6137470375766603
60,5.017348289489746,1.6129015576825896
61,5.011044502258301,1.6116444400534706
62,5.004701614379883,1.6103778443669488
63,4.999155044555664,1.6092689014202697
64,4.994408130645752,1.608318943760042
65,4.988317489624023,1.6070986916460615
66,4.986151218414307,1.606664271428694
67,4.981532573699951,1.605737552787811
68,4.978231906890869,1.6050747832975187
69,4.975161075592041,1.6044577274785932
70,4.973204135894775,1.604064312309628
71,4.966480255126953,1.602711414602305
72,4.964364528656006,1.6022852991082241
73,4.961573123931885,1.6017228145132216
74,4.959405899047852,1.6012858932636176
75,4.958751201629639,1.6011539352578716
76,4.956180095672607,1.6006352889348106
77,4.954676151275635,1.60033172569718
78,4.952910423278809,1.5999753615901227
79,4.9515509605407715,1.5997008030414241
80,4.950881004333496,1.5995654529360215
81,4.9487528800964355,1.5991355854404958
82,4.9479851722717285,1.5989804057852726
83,4.94638729095459,1.5986574804344174
84,4.945449352264404,1.5984678386617162
85,4.94706392288208,1.5987942583666297
86,4.94359016418457,1.598091829349013
87,4.94429349899292,1.5982340580362189
88,4.9445881843566895,1.5982936463274038
89,4.943177700042725,1.5980083522479214
90,4.942368030548096,1.5978445428597992
91,4.942357540130615,1.5978424495451828
92,4.9407477378845215,1.597516668650805
93,4.940808296203613,1.5975289341188283
94,4.9407429695129395,1.597515688879343
95,4.940285682678223,1.597423204934607
96,4.940073490142822,1.597380135349165
97,4.939939498901367,1.5973530991252223
98,4.939058303833008,1.5971745987208128
99,4.9391374588012695,1.5971907386770638
100,4.938206672668457,1.5970022097827021
